latitude,longitude,source_file,region,label,negative_basis,elevation_m,slope_deg,aspect_sin,aspect_cos,profile_curvature,relief_local_m,block
27.28073438539538,88.57053834258154,google_earth_point,southern_sikkim,1,,1278.0,27.562,0.91804,-0.39649,-6.261e-05,159.0,4428_1364
27.25534523128074,88.63093819820688,google_earth_point,southern_sikkim,1,,1978.0,37.453,-0.85941,-0.51129,0.00024725,200.0,4431_1362
27.30864166666666,88.66735833333334,google_earth_point,southern_sikkim,1,,2038.0,26.291,0.41888,-0.90804,0.00091849,112.0,4433_1365
27.26288611111112,88.59082222222222,google_earth_point,southern_sikkim,1,,919.0,41.81,-0.4938,0.86958,-0.00099658,206.0,4429_1363
27.32809315135169,88.62380516376776,google_earth_point,southern_sikkim,1,,1398.0,30.517,0.98022,0.19793,0.00051095,125.0,4431_1366
27.35486944444445,88.66125833333334,google_earth_point,southern_sikkim,1,,1764.0,38.247,0.04405,-0.99903,-0.00067606,170.0,4433_1367
27.35799166666667,88.66255833333334,google_earth_point,southern_sikkim,1,,2046.0,37.001,0.2525,-0.9676,6.286e-05,179.0,4433_1367
27.35724722222222,88.66389444444445,google_earth_point,southern_sikkim,1,,1957.0,39.066,0.308,-0.95139,-4.547e-05,187.0,4433_1367
27.352625,88.65876111111112,google_earth_point,southern_sikkim,1,,1646.0,40.207,0.64903,-0.76076,0.00167712,201.0,4432_1367
27.29975,88.69376111111112,google_earth_point,southern_sikkim,1,,2583.0,30.241,-0.99822,-0.05956,0.00160249,116.0,4434_1364
27.38047000212643,88.68308427441023,google_earth_point,southern_sikkim,1,,3323.0,21.548,-0.6929,-0.72104,0.00442379,107.0,4434_1369
27.26688611111111,88.557125,google_earth_point,southern_sikkim,1,,908.0,45.375,-0.15216,-0.98836,-0.00074676,226.0,4427_1363
27.26787777777778,88.5586111111111,google_earth_point,southern_sikkim,1,,1008.0,45.79,0.33642,-0.94171,0.00602939,223.0,4427_1363
27.28628611111111,88.54847777777778,google_earth_point,southern_sikkim,1,,1633.0,43.371,0.39108,-0.92036,0.00165552,197.0,4427_1364
27.25210683417693,88.68219186467816,google_earth_point,southern_sikkim,1,,1960.0,33.55,0.99903,-0.04398,0.00041076,134.0,4434_1362
27.19174595343439,88.64391913232053,google_earth_point,southern_sikkim,1,,1109.0,37.924,-0.17826,0.98398,0.00557414,182.0,4432_1359
27.28974742811852,88.74852563526115,google_earth_point,southern_sikkim,1,,2222.0,46.585,0.84496,-0.53483,-0.00096826,252.0,4437_1364
27.26222246906145,88.73167796945613,google_earth_point,southern_sikkim,1,,1855.0,35.65,-0.9953,-0.09682,-0.00361621,145.0,4436_1363
27.33162777777778,88.86180470109319,google_earth_point,southern_sikkim,1,,4142.0,31.856,0.67278,-0.73984,0.00036978,166.0,4443_1366
27.33007877526835,88.85977316426641,google_earth_point,southern_sikkim,1,,4159.0,35.093,0.83022,-0.55743,0.00149754,176.0,4442_1366
27.3294340174302,88.85915227076975,google_earth_point,southern_sikkim,1,,4168.0,32.072,0.69819,-0.71592,0.00248452,167.0,4442_1366
